id,name,lat,lon,rest_count
1759,Heilige Maria Magdalenakerk,51.1009329800,4.4131297620,61
1793,Sint-Pieterskerk,51.0780161800,4.4270073050,61
738,Sint-Catharinakerk,51.0911638200,4.3931459990,60
1884,Onze-Lieve-Vrouw-Ten-Hemel-Opgenomenkapel,51.1837386800,4.5455455540,60
1886,Zevenbergen,51.1948984400,4.5572543880,60
1939,Sint-Jozefkerk,50.9197989900,3.9879426240,60
2146,Onze-Lieve-Vrouw en Sint-Rochuskerk,51.0857202600,4.3648815930,60
2227,Sint-Jozefskerk,50.9096841300,4.0285572460,60
2317,Onze-Lieve-Vrouwekerk,51.1815803800,4.6015846380,60
2323,Sint-Gummaruskerk,51.1626138200,4.6069962960,60
2358,Campus Vesta,51.1740629000,4.6222466550,60
2360,Sint-Pancratiuskerk,51.1904910200,4.5604900540,60
776,0,51.0887917800,4.3680999000,59
1550,Heilig Hartkerk,51.0997712400,4.3686809140,59
266,Christus Koningkerk,51.1293253600,4.2298720300,58
684,Onze-Lieve-Vrouw van Goede Wilkerk,51.0940381700,4.5103659800,58
799,Sint-Margrietkerk,51.1145788700,4.1383627670,58
813,Sint-Franciscus van Saleskerk,51.0968733100,4.5551284250,58
1079,Kapel Onze Lieve Vrouw Zeven Weeën,51.1134495200,4.1425000130,58
1081,0,51.0938834200,4.4939837790,58
1094,0,51.1256956700,4.2029562810,58
1105,Vrije school De Basis en Klooster,51.0938951000,4.4989199460,58
1675,0,50.7378536600,4.5033311240,58
1748,Onze-Lieve-Vrouwekerk,51.1240507500,4.2138762690,58
1817,Sint-Martinuskerk,51.0945404900,4.5006508860,58
2173,Heilig Hartkerk,51.1259616000,4.1995812950,58
150,Sint-Jozefkerk,51.1603399600,4.2075590450,57
527,Wijkkerk Pastoor Van Ars,51.1649601000,4.1157158210,57
543,Sint-Jan-Baptistkerk,51.1148914500,4.0420810430,57
815,Sint-Petruskerk,51.1123540200,4.1754310220,57
1115,Sint-Jozefkapel,51.1106421100,4.1743501130,57
1127,Sint-Jan de Evangelistkerk,51.1251888200,4.2721866560,57
