name,avg_pr,lat,lon
De Mijn Kebab,12.5,50.9781318400,5.2403713610
De Nijl 1,7.583333333333333,50.8512546400,4.6601775720
De Pizzabakker,13.25,50.8784114500,4.4702509580
De Pyramiden,11.0,51.1012011600,3.6500558640
De Waterput,12.0,51.2240585000,4.7814686620
De ster pizzeria & doner kebap,12.625,51.0321954100,4.8160917470
Dennis Kebap,12.4,50.9730110400,4.9454731820
Dilsu Pizza Pitta,9.90090909090909,50.9100110500,4.1895060420
"Dinner&You Burgers, Grill & More",9.463636363636363,51.0797698400,3.7810253480
Don Sako,8.0,50.7040301900,4.9996862520
Doner Kebab Bahri,11.0,50.9781318400,5.2403713610
Donerix,11.733333333333333,51.1966223000,4.3852660680
Doy Doys,11.622222222222222,51.1532548200,4.3613778080
Dr. Grill,12.625,51.2400851600,5.0445548320
Duffelse Kebab,10.685714285714287,51.0406093300,4.3881106660
Dunya Döner,10.666666666666666,51.1966223000,4.4222892300
Dunya Kebab,13.55,50.9440216800,4.4839111130
Durum Express,11.0,50.7791684400,4.1980539020
Döner Kebab Anatolia,11.0,50.7040301900,5.1286464420
Ealaa Kayfik,9.99,51.1645513600,4.3796201390
Eat-Point,11.583333333333334,50.7040301900,5.1286464420
Eatpoint,13.25,50.9658706100,5.1375814260
Ediz Pizza-Pita,13.071428571428571,50.9253860600,3.6935877050
Eetboutique Kaya,12.75,50.9025148500,5.3956804470
Eetcafe Antep,11.214285714285714,51.3054201400,4.3973894620
Eetcafé Ossendrecht,8.8,51.3047282500,4.2902447950
Eethuis Bidos,13.357142857142858,50.7683677900,5.4215928220
Eethuis Bij Hakan,12.375,51.0145786700,5.7209105540
Eethuis Botan,13.18421052631579,50.9883426800,4.5505601450
Eethuis Dalin,11.12,51.1188564700,4.7379276990
Eethuis Florya Lommel,11.142857142857142,51.1617470200,5.2274719570
Eethuis Florya Neerpelt,12.071428571428571,51.1930639100,5.3826723940
Eethuis Hoekske,13.2,50.8681117800,5.2307765150
Eethuis Istanbul,10.966666666666667,50.9656953400,4.7030663960
Eethuis Kodak,14.714285714285714,51.1930639100,5.3826723940
Eethuis Mehmet,12.333333333333334,50.8138663900,5.4062097320
Eethuis Meyman,12.714285714285714,50.8983530500,5.2307765150
Eethuis Musti,11.166666666666666,50.7667431700,4.8106819040
Eethuis Nazar,13.214285714285714,51.0295251400,4.9454731820
Eethuis Orient,12.379310344827585,50.7040301900,5.0852501940
Eethuis Royale,8.5,51.1777839800,4.3933564210
Eethuis Star,11.1,50.8983530500,5.2507772690
Eethuis Taha,10.5,51.0127111500,4.3881106660
Eethuis Taksim,11.9,50.7401861000,5.4076719560
Eethuis Troja,12.166666666666666,51.1188564700,4.8212116820
Eethuis Tuba,13.2,51.0780161800,4.3260761210
Eethuis Turnhout,13.066666666666666,51.2871757200,4.8252599600
Eethuis Van Gogh,8.333333333333334,51.1057035400,4.3613778080
Eethuis Yuksel,13.200000000000001,51.0834818100,4.5455455540
Eethuis Zemzem,10.666666666666666,50.8384399700,5.6065974130
Eethuis familia,12.5,51.1815039500,4.1762786950
Efes,13.857142857142858,51.2160461900,4.7814686620
Efes Geetbets,11.5,50.8070595500,4.9858070370
"Efes Grillhouse, Kebab & Pizzeria",11.777777777777779,50.8727257200,4.8606855570
Efes Mol,14.149999999999999,51.1468970000,5.0785273290
Efes bij Carlos Niko,12.625,50.9081884000,4.6762445650
Egmont Snack,8.285714285714286,50.9600348300,4.4191012680
El Baraka,9.887500000000001,51.1927360300,4.3933564210
El Nacho's,10.0,50.9096841300,3.8894093370
Ela Kebap,10.625,51.0767991000,4.9454731820
Eldina Snack,10.5,51.1771979000,4.3796201390
Elif Grill Huis,9.25,51.1057035400,4.3613778080
Elite Kebab,10.875,51.0834818100,4.5505601450
Eric's Burger & Streetfood,9.0,50.8733122300,4.4301460070
Euro Kebab-Pizza,12.0,50.9339469700,5.4215928220
Euro Pizza Grill,13.125,50.9029036800,4.4758134300
Family,9.0,50.8263788500,4.1299387880
Fansa,11.75,51.1144426600,5.1136718460
Fast 2 Go,9.11111111111111,50.9616464700,4.4161945650
Flamingo Pizza & Kebap,17.35,51.2845449700,4.6561344780
Florya Kebab & Pizzeria,11.375,50.9339469700,5.3463124100
Food Box,10.0,51.1647310500,2.8068032770
Food King,9.9,50.8393104500,4.2141897290
Food Like Home,9.785714285714286,50.7627929800,4.1980539020
Foodbar Melisa,6.0,50.7683677900,5.4732664000
Foodtruck Pitta Mustafari,11.1,50.9451106100,3.6687620940
Forty Seven,13.916666666666666,50.8138663900,5.2307765150
Fresca,12.0,50.8159517100,3.5622878700
Fresh Pita,9.24,51.1494308100,4.1157158210
Friterie Dailly,8.25,50.8694805700,4.4301460070
Friterie Houba,12.9,50.8833831500,4.2627974840
Frituur 't Bekske,9.0,50.9658706100,5.1375814260
Frituur 't Hoekske,8.0,51.1532548200,4.3613778080
Frituur 't Kroontje,7.642857142857143,51.1966223000,4.4130072510
Frituur 't Patatje,14.0,51.1219847900,2.8584797940
Frituur Anita,10.0,50.9096841300,3.8894093370
Frituur Cité,12.5,50.9339469700,5.4215928220
Frituur De Gitschotel,8.25,51.1645513600,4.4032435220
Frituur De Mijn,10.166666666666666,51.0393846100,5.1050438960
Frituur De Petaat,10.0,51.1716481600,4.3382795840
Frituur Heuvelpoort,12.400000000000002,50.9451106100,3.6199475200
Frituur Karin,8.833333333333334,50.9029036800,4.3713358500
Frituur Koningslo,9.2,50.9063531700,4.3556231670
Frituur L'Orient Express,10.5,50.7136394700,4.1117345370
Frituur Muzzy,11.0,50.9442336800,5.1375814260
Frituur Nationale,9.1,51.1532548200,4.3264688940
Frituur Nou Nou,9.0,51.0834818100,4.4939837790
Frituur Overpoort,8.5,50.9451106100,3.6199475200
Frituur Pitta Twee Deuren,12.0,50.8991622500,3.5904394540
Frituur Plantin,7.833333333333333,51.1532548200,4.3613778080
Frituur Statie,10.0,51.1645513600,4.3914694270
Frituur brother's,10.8,50.8318220900,4.3713358500
Frituur-Grillroom Dalia,11.3,50.8296084400,5.4997300740
Gevara,6.0,51.1645513600,4.3796201390
Ghoshto Eethuis,9.333333333333334,51.1645513600,4.4115476930
Gold Pizza,12.5,51.1957278000,4.3852660680
Golden Friet,10.125,51.0211504200,3.6199475200
Goody's,10.7,51.1183853000,3.3823229600
Grand Station,11.285714285714286,51.0431711300,4.1206821900
Grill & Service,10.166666666666666,50.8091073500,4.6135957890
Grill Bar - The Shake,10.0,50.7921642900,3.8894093370
Grill House Centrum,11.375,50.8296084400,5.3956804470
Grill Metin,13.616666666666665,50.7456177900,4.8106819040
Grill Mix Centrum,9.7,50.9451106100,3.6687620940
Grillades Panios,10.5,50.8694805700,4.4301460070
Grillhouse Kusadasi,12.142857142857142,50.9319826500,5.5593247860
Grillé Darna,6.8,50.8694805700,4.3556231670
Gulle Lepel,8.041666666666666,50.9139486000,4.2231060850
Gül Food,11.75,50.8414296400,4.2141897290
HB Resto,10.25,50.9643456100,3.4444988170
HKebab Pizza,13.666666666666666,50.7006883000,3.9492877100
Hakko,10.0,50.8414296400,4.2141897290
Hanelly Food,9.214285714285714,50.7869146300,4.3165744860
Hapjes Time,10.413157894736843,51.2871757200,4.9100456030
Hasseltse Kebab,11.333333333333334,50.8586165900,5.2307765150
Hawin Bakkerij Gent,6.5,50.9451106100,3.6757875640
Heide,11.0,50.9846992400,4.5889761110
Heist Kebab,10.928571428571429,51.0312736000,4.7030663960
Herentals Kebab,15.568965517241379,51.0312736000,4.5455455540
Het Paleis Eethuis,13.222222222222221,51.2871757200,4.9100456030
Hever Kebab,12.25,50.9189678200,4.4799784500
Huzur Pizzeria Kebab,13.72843567251462,51.0207614600,4.8575493820
Il Gusto Pizzeria,11.0,51.1777839800,4.3810066340
Il Viadotto,9.25,51.1532548200,4.3264688940
Indian tadka & Istanbul kebab,11.4,50.9730110400,5.0148357180
Iran Chicken Grill,11.0,51.0771604100,3.0702183080
Isis,12.25,51.3554041600,4.4099018150
Istanbul,11.98342391304348,50.8512546400,4.6601775720
Istanbul Eethuis,7.5,51.1645513600,4.3796201390
Istanbul Grill Huis,11.75,50.9475647300,4.7535465970
Istanbul Resto Snack,13.0,51.1005866100,2.6138012280
Istanbul Snacks,11.5,50.9339469700,5.4215928220
Istanbul pizza & pita,8.0,51.2415758000,4.2902447950
Italian Delights,10.0,50.9497122300,3.2882459830
Izmir Kebab,12.0,51.1818395200,2.8068032770
Izmir Snacks,10.0,51.1981892000,5.4321332950
Jerusalem,10.666666666666666,50.9025148500,5.3956804470
Kaai Pizzeria,11.0,51.0122445000,2.5825768440
Kadirga,10.333333333333334,50.9883370600,5.2403713610
Kalender Frietjes,10.5,50.8288922400,4.4301460070
Kapadokya döner,11.428571428571429,51.1617470200,5.2274719570
Karine Dendermonde,11.833333333333334,50.9096841300,3.8894093370
Karine Grembergen,12.0,50.9302902600,3.8357544010
Kaya,11.88888888888889,50.8712320300,4.7024720730
Kaya Pitta,9.9,51.1113373000,2.8068032770
Kebab Bizet,7.5,50.7791684400,4.1980539020
Kebab Company,10.0,50.8091073500,4.6135957890
Kebab House,13.5,51.0122445000,2.5825768440
Kebab Leuven,9.125,50.8592578700,4.6628979250
Kebab Oelegem,11.11111111111111,51.1527706400,4.5455455540
Kebab Time,12.6,51.1617470200,5.2274719570
Kebab@Home,13.0,50.8706131800,3.8894093370
Kebaba,10.333333333333334,51.1617470200,5.2274719570
Kebabstore,13.833333333333334,50.8296084400,5.3897707010
Kebap - Pizza De Brug,12.0,50.8681117800,5.2307765150
Kebap Anatolia,10.666666666666666,51.2871757200,4.8252599600
Kebap Corner,12.5,50.8727257200,4.8937206540
Kebap Food,8.5,50.8713958500,4.2627974840
Kebap Kursat,12.0,50.9440216800,4.8937206540
Kebap Mustafa,10.833333333333334,50.8070595500,5.0400922860
Kebap Nisa,12.3125,51.1596801400,3.1591735040
Kebap Oasis,14.375,51.0321954100,4.8160917470
Kebap Store,12.526315789473685,50.8955524800,4.8160917470
Kebap Xpress,11.5,51.0988814500,4.7814686620
Kent,12.8,51.1128729200,5.0527941630
Keyf Lounge,15.777777777777779,51.0311411200,5.4141498810
King Kebab,10.0,51.0771604100,3.1591735040
King Kebap,11.0,50.9189678200,4.5297863000
King Of Kebab,13.0,50.9656953400,4.7911782430
King Pizza & More,8.5,51.0956525700,4.0420810430
King Pizza Vilvoorde,8.95,50.8694805700,4.3270284800
King Potato,8.5,51.1086655400,4.3613778080
Kokorecci Antwerpen,9.0,51.1532548200,4.3264688940
Konak Pizzeria Doner Kebab,13.0,51.1260893200,5.7372261570
Koz Kebap,7.5,51.1771979000,4.3796201390
Kral Snacks,12.428571428571429,51.0838850100,5.0527941630
La Bella,13.225,51.1930639100,5.3826723940
La Casa Pizzeria,11.125,51.0661106100,4.3260761210
La Casa Snack,8.3,51.1494308100,4.1206821900
La Dany,10.125,51.1532548200,4.3382795840
La Maison du Kebab,9.125,50.7791684400,4.1980539020
La Medina Chez Houssin,7.0,50.8414296400,4.2141897290
La Monte Carlo,11.9,51.1939957500,4.3810066340
La Monte Carlo City,11.95,51.1777839800,4.3264688940
La Palmeraie,9.0,50.7621792800,3.1106573350
La Rosa,13.973076923076922,51.0834818100,4.4753887040
La Rose,8.2,51.1645513600,4.3796201390
Lara Eethuis,11.8,50.9652683100,4.0692346410
Layana Food,10.9,51.1336220000,4.3852660680
Le 1050 Snack,10.5,50.8733122300,4.4301460070
Le Cerisier,10.0,50.8158340200,4.4301460070
Le Kasseria,9.5,50.9319826500,5.4215928220
Leo's Bakkerij & Kebab,14.0,51.0756953300,5.1050438960
Les 4 Goûts,10.0,50.8733122300,4.4301460070
Lilse Kebab 2,10.571428571428571,51.2160461900,4.7814686620
Lilse Kebap,11.428571428571429,51.2018782200,4.7712356660
Liman Grill House,11.666666666666666,50.8296084400,5.3067484660
LindelBaskent,11.8,51.0853972100,5.2274719570
LivaKebab,10.333333333333334,51.1716481600,4.3382795840
Liya Kebab & Pizzaria,10.0,51.3047282500,4.2902447950
Loco Pizza,9.3,50.8512546400,4.6135957890
Loco Pizza 2,9.3,50.8219936700,4.6135957890
Lommelse Kebab,11.0,51.1617470200,5.2274719570
Loons Qebap,11.9,50.7823069700,5.2622199380
Lunch Factory,8.571428571428571,50.7791684400,4.1980539020
Lunch Halte,9.9,51.1957278000,4.3852660680
M&N Royal,12.38,51.0131721600,4.5889761110
M84U,12.0,50.7218777300,4.8835120180
MARHABA,8.6,50.9696904700,3.8357544010
Maara Uno,10.333333333333334,50.7667431700,4.8835120180
Madame Gusto,12.5,50.8713958500,4.2231060850
Madina food,9.0,50.8733122300,4.4301460070
Maestro,10.458333333333334,50.9253860600,3.6491743210
Magic Food,10.5,50.9964101600,4.0155669790
Magic Kebap-Kessenich,10.916666666666666,51.0430543100,5.6242326480
Maison Grill,7.166666666666667,50.8414296400,4.2141897290
Mam's burger,10.9,50.9006786300,4.3024089520
Mamma Mia,13.0,50.7683677900,5.5341610340
Marinah,7.5,50.7791684400,4.1980539020
Mario's Pizza,12.0,51.2771483100,4.3653989960
Marmara,9.5,51.0227006000,3.6599207730
Marrakech,9.0,50.8694805700,4.3556231670
Masala Express,9.0,50.7401052200,3.1523589770
Masaya,11.0,50.8393020600,4.5406860430
Mashar Pide,13.166666666666666,50.9339469700,5.4215928220
Maxx Pizza,9.0,51.0874291500,4.7379276990
Mc Buffet,14.0,50.8173280100,3.2929795140
Mc'Döner'S,9.214285714285714,50.7719022400,4.3165744860
Mehtap,9.833333333333334,51.1777839800,4.3949460570
Melita,12.903508771929825,50.7771727300,2.8648193810
Melita Original,22.785714285714285,50.7708973100,3.3133193130
Memo Pizza,12.0,50.8397824300,3.7806692370
Merdin 1,11.8,50.8091073500,4.6135957890
Merdin 2,11.0,50.8968818000,4.6064722960
Merdin 3,9.88888888888889,50.9267065200,4.6064722960
Mezopotamya,9.0,50.7401052200,3.2272519230
Miam's Burger,10.0,50.7136394700,4.1980539020
Midyat,13.666666666666666,50.9425706700,4.6939718480
Mila Palace,9.285714285714286,51.1532548200,4.3382795840
Milano Pizza Grill,13.166666666666666,50.9189678200,4.5297863000
Milas,13.875,51.0853972100,5.3646034330
Millenium Kebap,13.384615384615385,50.9081884000,4.7204508490
Milo II Kebap Pizza Pasta,12.083333333333334,51.1782812100,5.0445548320
Milo Kebap Pizza Pasta,15.645833333333334,51.0988814500,4.9454731820
Mira,13.0,50.9883370600,5.2403713610
Miracle,10.5,50.8733122300,4.4301460070
Miro's snack,8.6,50.8694805700,4.4301460070
Miss Pizza,9.0,51.1815039500,4.1934588240
Mister Pizza,9.0,50.8991622500,3.5904394540
Mixor Kebab,8.975000000000001,51.1771979000,4.3796201390
Mob's Grill (Halal),8.0,50.8263788500,4.1920705540
Moni,12.25,51.1527706400,4.4273066630
Mr. Ribs,10.0,51.2771483100,4.3653989960
Mr. Spareribs,14.0,50.8983530500,5.3067484660
Munis Restaurant,10.833333333333334,50.9238749400,4.3352048110
Murat Pita Pizza Pasta,10.5,51.3047282500,4.2902447950
Musty Kebab,12.625,51.0207614600,5.2487269570
My Kebab,15.391304347826088,50.8830146100,5.2248817830
Najmat Al shaam,6.5,51.1645513600,4.3796201390
Napoli,9.316666666666666,51.0780161800,4.2999673830
Napoli Heers,10.8,50.7285445800,5.2539134480
Napoli Pizza Grill,11.75,50.8845547300,4.5406860430
Napoli Schoten,13.71875,51.1966223000,4.3852660680
Napolitano,7.0,51.1596801400,3.1591735040
Naroj,10.5,50.8703938300,4.7202150510
Nasip,10.0,50.7456436000,5.4197187900
Nazar Pizza Kebap,13.666666666666666,51.0009953900,4.4839111130
Nazar Side,10.875,50.7456177900,4.7501107790
Nefertete,11.375,51.1468970000,5.0785273290
New City,9.6,50.9339469700,5.3463124100
