name,avg_pr,lat,lon
Snack Nakhil,8.675,51.19471969,4.396004201
Snack ozzy,7.5,51.02302294,3.706429483
Snackbar 109,8.166666666666666,51.17930938,4.379620139
Solav Kebab,6.45,51.19273603,4.393356421
Solav kabab,8.125,51.19273603,4.393356421
Star Kebab,7.428571428571429,51.30567547,4.932008898
Steakhouse pizzaria Amsterdam,6.805789473684211,51.16857592,4.350791716
Sultan kebab ,9.285714285714286,51.01108238,4.449598129
TCHITCHI KEBAB PIZZERIA,7.46875,51.19399575,4.393356421
Tasty World Hoogpoort,4.45,51.02302294,3.692138247
That's Kebap,7.46,51.02959274,3.692138247
The Ribhouse Gent,15.0,51.02302294,3.698152652
Tito,9.617647058823529,51.19399575,4.393356421
Uniq Kebab,8.875,51.02302294,3.698152652
Uniq Kebab Gent,11.45,51.02302294,3.698152652
Yamal Alsham ,5.0,51.18712064,4.379620139
Z'appétit,5.833333333333333,50.87403071,4.276479858
eetcafé panorama,8.5625,51.17970814,4.401294395
grillmixcentrum,9.7,51.02959274,3.698152652
kebab Leuven Diestsestraat,8.5,50.85925787,4.672616145
pita pizza waterpoort,10.0,51.18668616,4.379620139
samo bakkerij,7.65,51.18829291,4.409604975
t Stad Kebab,9.8125,51.18668616,4.379620139
yalcin snacks,8.75,50.92054171,3.108444364
ÖZ AHI,5.5,51.16857592,4.350791716
